dateday,season,holiday,atemp,humidity,count
2011-01-04,Spring,0,0.2273,0.56,97
2011-01-04,Spring,0,0.2576,0.52,63
2011-01-04,Spring,0,0.2727,0.52,65
2011-01-04,Spring,0,0.2879,0.49,83
2011-01-04,Spring,0,0.2727,0.48,212
2011-01-04,Spring,0,0.2576,0.48,182
2011-01-04,Spring,0,0.2576,0.48,112
2011-01-04,Spring,0,0.2576,0.48,54
2011-01-04,Spring,0,0.2727,0.64,48
2011-01-04,Spring,0,0.2576,0.64,35
2011-01-04,Spring,0,0.2273,0.69,11
2011-01-05,Spring,0,0.2576,0.64,6
2011-01-05,Spring,0,0.197,0.74,6
2011-01-05,Spring,0,0.197,0.74,2
2011-01-05,Spring,0,0.2273,0.48,2
2011-01-05,Spring,0,0.2273,0.47,3
2011-01-05,Spring,0,0.197,0.47,33
2011-01-05,Spring,0,0.1818,0.43,88
2011-01-05,Spring,0,0.1818,0.4,195
2011-01-05,Spring,0,0.197,0.37,115
2011-01-05,Spring,0,0.197,0.37,57
2011-01-05,Spring,0,0.2273,0.33,46
2011-01-05,Spring,0,0.2273,0.33,79
2011-01-05,Spring,0,0.2576,0.3,71
2011-01-05,Spring,0,0.2879,0.28,62
2011-01-05,Spring,0,0.2879,0.28,62
2011-01-05,Spring,0,0.3182,0.28,89
2011-01-05,Spring,0,0.2273,0.38,190
2011-01-05,Spring,0,0.2424,0.38,169
2011-01-05,Spring,0,0.2576,0.38,132
2011-01-05,Spring,0,0.2273,0.47,89
2011-01-05,Spring,0,0.197,0.51,43
2011-01-05,Spring,0,0.197,0.55,42
2011-01-05,Spring,0,0.2576,0.47,19
2011-01-06,Spring,0,0.2424,0.55,11
2011-01-06,Spring,0,0.2273,0.64,4
2011-01-06,Spring,0,0.2273,0.64,2
2011-01-06,Spring,0,0.197,0.64,1
2011-01-06,Spring,0,0.1818,0.69,4
2011-01-06,Spring,0,0.1667,0.63,36
2011-01-06,Spring,0,0.2273,0.59,95
2011-01-06,Spring,0,0.2273,0.59,219
2011-01-06,Spring,0,0.2424,0.51,122
2011-01-06,Spring,0,0.2576,0.47,45
2011-01-06,Spring,0,0.2576,0.44,59
2011-01-06,Spring,0,0.2879,0.35,84
2011-01-06,Spring,0,0.2727,0.35,67
2011-01-06,Spring,0,0.2727,0.36,70
2011-01-06,Spring,0,0.2727,0.36,62
2011-01-06,Spring,0,0.2576,0.38,86
2011-01-06,Spring,0,0.2273,0.51,172
2011-01-06,Spring,0,0.2273,0.51,163
2011-01-06,Spring,0,0.2576,0.55,112
2011-01-06,Spring,0,0.2121,0.51,69
2011-01-06,Spring,0,0.2121,0.55,48
2011-01-06,Spring,0,0.2121,0.51,52
2011-01-06,Spring,0,0.197,0.59,23
2011-01-07,Spring,0,0.197,0.64,17
2011-01-07,Spring,0,0.197,0.69,7
2011-01-07,Spring,0,0.197,0.69,1
2011-01-07,Spring,0,0.2121,0.69,1
2011-01-07,Spring,0,0.2727,0.55,5
2011-01-07,Spring,0,0.2576,0.69,34
2011-01-07,Spring,0,0.2121,0.69,84
2011-01-07,Spring,0,0.197,0.51,210
2011-01-07,Spring,0,0.1818,0.47,134
2011-01-07,Spring,0,0.197,0.37,63
2011-01-07,Spring,0,0.197,0.4,67
2011-01-07,Spring,0,0.197,0.37,59
2011-01-07,Spring,0,0.1818,0.37,73
2011-01-07,Spring,0,0.197,0.4,50
2011-01-07,Spring,0,0.2121,0.37,72
2011-01-07,Spring,0,0.2121,0.37,87
2011-01-07,Spring,0,0.2576,0.37,187
2011-01-07,Spring,0,0.2273,0.4,123
2011-01-07,Spring,0,0.197,0.55,95
2011-01-07,Spring,0,0.2121,0.47,51
2011-01-07,Spring,0,0.197,0.47,39
2011-01-07,Spring,0,0.197,0.43,36
2011-01-07,Spring,0,0.197,0.51,15
2011-01-08,Spring,0,0.197,0.51,25
2011-01-08,Spring,0,0.2121,0.55,16
2011-01-08,Spring,0,0.2424,0.55,16
2011-01-08,Spring,0,0.197,0.55,7
2011-01-08,Spring,0,0.197,0.55,1
2011-01-08,Spring,0,0.1667,0.74,5
2011-01-08,Spring,0,0.1667,0.74,2
2011-01-08,Spring,0,0.1818,0.74,9
2011-01-08,Spring,0,0.1818,0.93,15
2011-01-08,Spring,0,0.1818,0.93,20
2011-01-08,Spring,0,0.197,0.8,61
2011-01-08,Spring,0,0.1818,0.69,62
2011-01-08,Spring,0,0.1818,0.59,98
2011-01-08,Spring,0,0.1818,0.44,102
2011-01-08,Spring,0,0.1667,0.32,95
2011-01-08,Spring,0,0.1667,0.32,74
2011-01-08,Spring,0,0.1364,0.29,76
2011-01-08,Spring,0,0.1212,0.37,69
2011-01-08,Spring,0,0.1212,0.39,55
2011-01-08,Spring,0,0.1212,0.36,30
2011-01-08,Spring,0,0.1212,0.36,28
2011-01-08,Spring,0,0.1061,0.39,37
2011-01-08,Spring,0,0.1061,0.36,34
2011-01-08,Spring,0,0.0606,0.39,22
2011-01-09,Spring,0,0.0758,0.42,25
2011-01-09,Spring,0,0.0606,0.42,12
2011-01-09,Spring,0,0.0606,0.46,11
2011-01-09,Spring,0,0.0758,0.46,4
2011-01-09,Spring,0,0.0909,0.53,1
2011-01-09,Spring,0,0.0909,0.53,1
2011-01-09,Spring,0,0.0909,0.49,1
2011-01-09,Spring,0,0.0909,0.53,6
2011-01-09,Spring,0,0.0909,0.49,10
2011-01-09,Spring,0,0.0758,0.46,19
2011-01-09,Spring,0,0.1061,0.43,49
2011-01-09,Spring,0,0.1212,0.4,49
2011-01-09,Spring,0,0.1364,0.37,83
2011-01-09,Spring,0,0.1667,0.34,75
2011-01-09,Spring,0,0.1818,0.32,72
2011-01-09,Spring,0,0.197,0.35,82
2011-01-09,Spring,0,0.1667,0.34,92
2011-01-09,Spring,0,0.1515,0.37,62
2011-01-09,Spring,0,0.1364,0.4,48
2011-01-09,Spring,0,0.1364,0.43,41
2011-01-09,Spring,0,0.1212,0.46,38
2011-01-09,Spring,0,0.1061,0.46,20
2011-01-09,Spring,0,0.1212,0.46,15
2011-01-09,Spring,0,0.1364,0.5,6
2011-01-10,Spring,0,0.1212,0.5,5
2011-01-10,Spring,0,0.1212,0.5,1
2011-01-10,Spring,0,0.1212,0.5,3
2011-01-10,Spring,0,0.1212,0.5,1
2011-01-10,Spring,0,0.1212,0.54,3
2011-01-10,Spring,0,0.1061,0.54,3
2011-01-10,Spring,0,0.1212,0.5,31
2011-01-10,Spring,0,0.1212,0.5,77
2011-01-10,Spring,0,0.1212,0.5,188
2011-01-10,Spring,0,0.1212,0.5,94
2011-01-10,Spring,0,0.1212,0.5,31
2011-01-10,Spring,0,0.1364,0.47,30
2011-01-10,Spring,0,0.1818,0.4,52
2011-01-10,Spring,0,0.1818,0.4,54
2011-01-10,Spring,0,0.197,0.4,47
2011-01-10,Spring,0,0.197,0.4,45
2011-01-10,Spring,0,0.2121,0.4,74
2011-01-10,Spring,0,0.2273,0.4,178
2011-01-10,Spring,0,0.197,0.4,155
2011-01-10,Spring,0,0.1667,0.47,95
2011-01-10,Spring,0,0.1667,0.5,74
2011-01-10,Spring,0,0.1364,0.59,38
2011-01-10,Spring,0,0.1515,0.59,24
2011-01-10,Spring,0,0.1515,0.59,18
2011-01-11,Spring,0,0.1667,0.59,12
2011-01-11,Spring,0,0.1515,0.59,3
2011-01-11,Spring,0,0.1515,0.55,3
2011-01-11,Spring,0,0.1818,0.55,6
2011-01-11,Spring,0,0.1818,0.55,27
2011-01-11,Spring,0,0.2273,0.55,99
2011-01-11,Spring,0,0.2121,0.51,217
2011-01-11,Spring,0,0.197,0.51,130
2011-01-11,Spring,0,0.2121,0.51,54
2011-01-11,Spring,0,0.2121,0.47,35
2011-01-11,Spring,0,0.2273,0.51,57
2011-01-11,Spring,0,0.2273,0.59,52
2011-01-11,Spring,0,0.2273,0.59,63
2011-01-11,Spring,0,0.197,0.8,47
2011-01-11,Spring,0,0.1515,0.86,76
2011-01-11,Spring,0,0.1515,0.86,136
2011-01-11,Spring,0,0.1818,0.93,95
2011-01-11,Spring,0,0.2273,0.93,51
2011-01-11,Spring,0,0.1515,0.93,32
2011-01-11,Spring,0,0.197,0.86,20
2011-01-11,Spring,0,0.1818,0.93,29
2011-01-11,Spring,0,0.197,0.93,19
2011-01-12,Spring,0,0.197,0.86,7
2011-01-12,Spring,0,0.1818,0.86,6
2011-01-12,Spring,0,0.1515,0.86,1
2011-01-12,Spring,0,0.1515,0.86,5
2011-01-12,Spring,0,0.1515,0.93,16
2011-01-12,Spring,0,0.1515,0.69,54
2011-01-12,Spring,0,0.1667,0.59,128
2011-01-12,Spring,0,0.1364,0.59,81
2011-01-12,Spring,0,0.1818,0.55,39
2011-01-12,Spring,0,0.1818,0.51,35
2011-01-12,Spring,0,0.1515,0.47,55
2011-01-12,Spring,0,0.197,0.44,49
2011-01-12,Spring,0,0.1818,0.47,44
2011-01-12,Spring,0,0.1667,0.47,49
2011-01-12,Spring,0,0.197,0.44,68
2011-01-12,Spring,0,0.1818,0.47,139
2011-01-12,Spring,0,0.1515,0.47,137
2011-01-12,Spring,0,0.1515,0.47,83
2011-01-12,Spring,0,0.1364,0.5,56
2011-01-12,Spring,0,0.1364,0.55,57
2011-01-12,Spring,0,0.1212,0.55,33
2011-01-12,Spring,0,0.1061,0.59,20
2011-01-13,Spring,0,0.1212,0.59,7
2011-01-13,Spring,0,0.1212,0.5,2
2011-01-13,Spring,0,0.1212,0.5,2
2011-01-13,Spring,0,0.1212,0.5,3
2011-01-13,Spring,0,0.1212,0.5,4
2011-01-13,Spring,0,0.1212,0.5,3
2011-01-13,Spring,0,0.1515,0.54,28
2011-01-13,Spring,0,0.1515,0.54,72
2011-01-13,Spring,0,0.1364,0.5,202
2011-01-13,Spring,0,0.1212,0.5,139
2011-01-13,Spring,0,0.1364,0.5,38
2011-01-13,Spring,0,0.1667,0.44,37
2011-01-13,Spring,0,0.1667,0.44,52
2011-01-13,Spring,0,0.197,0.41,83
2011-01-13,Spring,0,0.197,0.41,42
2011-01-13,Spring,0,0.2121,0.38,60
2011-01-13,Spring,0,0.2121,0.38,78
2011-01-13,Spring,0,0.1818,0.4,162
2011-01-13,Spring,0,0.1818,0.4,144
2011-01-13,Spring,0,0.1515,0.47,99
2011-01-13,Spring,0,0.1515,0.47,64
2011-01-13,Spring,0,0.1212,0.46,40
2011-01-13,Spring,0,0.1212,0.46,30
2011-01-13,Spring,0,0.1364,0.5,15
2011-01-14,Spring,0,0.1364,0.5,14
2011-01-14,Spring,0,0.1212,0.54,5
2011-01-14,Spring,0,0.1212,0.54,1
2011-01-14,Spring,0,0.1364,0.54,1
2011-01-14,Spring,0,0.1364,0.54,8
2011-01-14,Spring,0,0.1818,0.54,17
2011-01-14,Spring,0,0.1212,0.74,70
2011-01-14,Spring,0,0.1667,0.68,158
2011-01-14,Spring,0,0.1515,0.69,117
2011-01-14,Spring,0,0.1818,0.55,44
2011-01-14,Spring,0,0.1667,0.51,53
2011-01-14,Spring,0,0.197,0.44,61
2011-01-14,Spring,0,0.197,0.37,77
2011-01-14,Spring,0,0.2121,0.41,64
2011-01-14,Spring,0,0.2424,0.38,68
2011-01-14,Spring,0,0.2424,0.41,90
2011-01-14,Spring,0,0.2273,0.41,159
2011-01-14,Spring,0,0.2576,0.47,139
2011-01-14,Spring,0,0.197,0.59,92
2011-01-14,Spring,0,0.2424,0.59,68
2011-01-14,Spring,0,0.2273,0.69,52
2011-01-14,Spring,0,0.2273,0.69,36
2011-01-14,Spring,0,0.2424,0.55,27
2011-01-15,Spring,0,0.2424,0.55,28
2011-01-15,Spring,0,0.197,0.59,20
2011-01-15,Spring,0,0.197,0.59,12
2011-01-15,Spring,0,0.2273,0.59,8
2011-01-15,Spring,0,0.2273,0.59,5
2011-01-15,Spring,0,0.2273,0.59,1
2011-01-15,Spring,0,0.1667,0.63,3
2011-01-15,Spring,0,0.2121,0.63,10
2011-01-15,Spring,0,0.1515,0.63,23
2011-01-15,Spring,0,0.1818,0.64,33
2011-01-15,Spring,0,0.197,0.59,59
2011-01-15,Spring,0,0.197,0.55,72
2011-01-15,Spring,0,0.2273,0.48,89
2011-01-15,Spring,0,0.2576,0.38,101
2011-01-15,Spring,0,0.2879,0.39,118
2011-01-15,Spring,0,0.3182,0.36,129
2011-01-15,Spring,0,0.3333,0.34,128
2011-01-15,Spring,0,0.303,0.36,83
2011-01-15,Spring,0,0.2879,0.45,84
2011-01-15,Spring,0,0.303,0.39,74
2011-01-15,Spring,0,0.303,0.39,41
2011-01-15,Spring,0,0.303,0.39,57
2011-01-15,Spring,0,0.3182,0.42,26
2011-01-15,Spring,0,0.2879,0.45,44
2011-01-16,Spring,0,0.303,0.56,39
2011-01-16,Spring,0,0.2727,0.56,23
2011-01-16,Spring,0,0.2879,0.56,16
2011-01-16,Spring,0,0.2727,0.69,15
2011-01-16,Spring,0,0.2576,0.56,1
2011-01-16,Spring,0,0.2576,0.56,2
2011-01-16,Spring,0,0.2576,0.56,1
2011-01-16,Spring,0,0.2121,0.56,3
2011-01-16,Spring,0,0.2121,0.55,18
2011-01-16,Spring,0,0.2121,0.51,32
2011-01-16,Spring,0,0.2121,0.51,79
2011-01-16,Spring,0,0.2273,0.44,93
2011-01-16,Spring,0,0.2121,0.41,104
2011-01-16,Spring,0,0.2273,0.35,118
2011-01-16,Spring,0,0.2727,0.36,91
2011-01-16,Spring,0,0.2424,0.38,113
2011-01-16,Spring,0,0.2273,0.38,99
2011-01-16,Spring,0,0.2121,0.37,105
2011-01-16,Spring,0,0.2121,0.4,67
2011-01-16,Spring,0,0.197,0.47,61
2011-01-16,Spring,0,0.197,0.47,57
2011-01-16,Spring,0,0.197,0.51,28
2011-01-16,Spring,0,0.2121,0.49,21
2011-01-16,Spring,0,0.2273,0.4,18
2011-01-17,Spring,1,0.197,0.47,17
2011-01-17,Spring,1,0.197,0.44,16
2011-01-17,Spring,1,0.1667,0.43,8
2011-01-17,Spring,1,0.1818,0.43,2
2011-01-17,Spring,1,0.197,0.43,3
2011-01-17,Spring,1,0.197,0.43,1
2011-01-17,Spring,1,0.1818,0.43,5
2011-01-17,Spring,1,0.1818,0.5,13
2011-01-17,Spring,1,0.1515,0.47,33
2011-01-17,Spring,1,0.1515,0.47,47
2011-01-17,Spring,1,0.1515,0.5,57
2011-01-17,Spring,1,0.1515,0.55,64
2011-01-17,Spring,1,0.197,0.47,80
2011-01-17,Spring,1,0.197,0.47,93
2011-01-17,Spring,1,0.2121,0.43,86
2011-01-17,Spring,1,0.2121,0.47,93
2011-01-17,Spring,1,0.2121,0.47,82
2011-01-17,Spring,1,0.197,0.51,71
2011-01-17,Spring,1,0.1667,0.55,92
2011-01-17,Spring,1,0.1818,0.59,60
2011-01-17,Spring,1,0.1515,0.8,33
2011-01-17,Spring,1,0.1515,0.8,27
2011-01-17,Spring,1,0.1212,0.93,13
2011-01-17,Spring,1,0.1364,0.86,4
2011-01-18,Spring,0,0.1818,0.86,3
2011-01-18,Spring,0,0.197,0.86,22
2011-01-18,Spring,0,0.2273,0.8,28
2011-01-18,Spring,0,0.2273,0.87,35
2011-01-18,Spring,0,0.2273,0.87,61
2011-01-18,Spring,0,0.2273,0.82,125
2011-01-18,Spring,0,0.2273,0.8,133
2011-01-18,Spring,0,0.2273,0.8,99
2011-01-18,Spring,0,0.2727,0.87,83
2011-01-18,Spring,0,0.2424,0.93,41
2011-01-18,Spring,0,0.2576,0.93,33
2011-01-18,Spring,0,0.2727,0.93,20
2011-01-19,Spring,0,0.2727,0.93,3
2011-01-19,Spring,0,0.2273,0.93,7
2011-01-19,Spring,0,0.2273,0.93,3
2011-01-19,Spring,0,0.2273,0.93,2
2011-01-19,Spring,0,0.2576,0.93,7
2011-01-19,Spring,0,0.2576,0.93,32
2011-01-19,Spring,0,0.2576,0.92,90
2011-01-19,Spring,0,0.2576,0.93,197
2011-01-19,Spring,0,0.2576,0.93,109
2011-01-19,Spring,0,0.2727,0.93,47
2011-01-19,Spring,0,0.303,0.87,52
2011-01-19,Spring,0,0.3182,0.81,70
2011-01-19,Spring,0,0.4091,0.62,78
2011-01-19,Spring,0,0.4091,0.58,75
2011-01-19,Spring,0,0.4091,0.54,82
2011-01-19,Spring,0,0.3939,0.58,104
2011-01-19,Spring,0,0.3333,0.57,197
2011-01-19,Spring,0,0.3182,0.61,161
2011-01-19,Spring,0,0.2879,0.57,112
2011-01-19,Spring,0,0.303,0.49,76
2011-01-19,Spring,0,0.2879,0.49,59
2011-01-19,Spring,0,0.303,0.52,59
2011-01-19,Spring,0,0.2727,0.52,28
2011-01-20,Spring,0,0.2273,0.56,13
2011-01-20,Spring,0,0.2727,0.56,5
2011-01-20,Spring,0,0.2727,0.56,2
2011-01-20,Spring,0,0.2576,0.56,1
2011-01-20,Spring,0,0.2576,0.56,1
2011-01-20,Spring,0,0.2273,0.6,6
2011-01-20,Spring,0,0.2121,0.6,35
2011-01-20,Spring,0,0.2121,0.55,101
2011-01-20,Spring,0,0.2121,0.55,249
2011-01-20,Spring,0,0.2273,0.52,143
2011-01-20,Spring,0,0.2273,0.48,57
2011-01-20,Spring,0,0.2727,0.45,68
2011-01-20,Spring,0,0.3333,0.42,84
2011-01-20,Spring,0,0.2879,0.45,98
2011-01-20,Spring,0,0.303,0.45,81
2011-01-20,Spring,0,0.3182,0.45,70
2011-01-20,Spring,0,0.303,0.49,91
2011-01-20,Spring,0,0.3182,0.49,215
2011-01-20,Spring,0,0.2576,0.56,185
2011-01-20,Spring,0,0.2273,0.56,152
2011-01-20,Spring,0,0.2424,0.6,126
2011-01-20,Spring,0,0.2273,0.6,57
2011-01-20,Spring,0,0.2121,0.65,56
2011-01-20,Spring,0,0.2121,0.65,31
2011-01-21,Spring,0,0.2273,0.7,21
2011-01-21,Spring,0,0.2273,0.7,6
2011-01-21,Spring,0,0.2424,0.75,2
2011-01-21,Spring,0,0.2121,0.8,1
2011-01-21,Spring,0,0.2576,0.87,1
2011-01-21,Spring,0,0.197,0.6,5
2011-01-21,Spring,0,0.2121,0.55,27
2011-01-21,Spring,0,0.1818,0.51,68
2011-01-21,Spring,0,0.1818,0.47,217
2011-01-21,Spring,0,0.1818,0.51,166
2011-01-21,Spring,0,0.1667,0.47,63
2011-01-21,Spring,0,0.1818,0.41,59
2011-01-21,Spring,0,0.1818,0.27,78
2011-01-21,Spring,0,0.1515,0.21,73
2011-01-21,Spring,0,0.1515,0.25,62
2011-01-21,Spring,0,0.1212,0.26,65
2011-01-21,Spring,0,0.1364,0.26,97
2011-01-21,Spring,0,0.1212,0.28,161
2011-01-21,Spring,0,0.1212,0.3,120
2011-01-21,Spring,0,0.1061,0.3,96
2011-01-21,Spring,0,0.0758,0.33,53
2011-01-21,Spring,0,0.0758,0.38,41
2011-01-21,Spring,0,0.0303,0.41,34
2011-01-21,Spring,0,0.0455,0.38,27
2011-01-22,Spring,0,0.0303,0.45,13
2011-01-22,Spring,0,0.0,0.41,12
2011-01-22,Spring,0,0.0303,0.41,11
2011-01-22,Spring,0,0.0303,0.41,7
2011-01-22,Spring,0,0.0152,0.48,3
2011-01-22,Spring,0,0.0303,0.44,2
2011-01-22,Spring,0,0.0152,0.44,8
2011-01-22,Spring,0,0.0,0.44,27
2011-01-22,Spring,0,0.0303,0.41,40
2011-01-22,Spring,0,0.0606,0.41,53
2011-01-22,Spring,0,0.0758,0.38,63
2011-01-22,Spring,0,0.1061,0.38,70
2011-01-22,Spring,0,0.1667,0.35,84
2011-01-22,Spring,0,0.1364,0.33,75
2011-01-22,Spring,0,0.1515,0.28,103
2011-01-22,Spring,0,0.1364,0.28,83
2011-01-22,Spring,0,0.197,0.28,67
2011-01-22,Spring,0,0.0909,0.35,54
2011-01-22,Spring,0,0.1061,0.35,59
2011-01-22,Spring,0,0.0758,0.45,45
2011-01-22,Spring,0,0.1061,0.41,39
2011-01-22,Spring,0,0.1515,0.49,30
2011-01-22,Spring,0,0.0758,0.57,33
2011-01-23,Spring,0,0.0758,0.57,22
2011-01-23,Spring,0,0.0758,0.57,13
2011-01-23,Spring,0,0.0606,0.62,18
2011-01-23,Spring,0,0.0606,0.62,5
2011-01-23,Spring,0,0.0758,0.57,3
2011-01-23,Spring,0,0.0758,0.57,1
2011-01-23,Spring,0,0.1061,0.58,2
2011-01-23,Spring,0,0.0758,0.62,19
2011-01-23,Spring,0,0.0758,0.54,28
2011-01-23,Spring,0,0.1061,0.46,58
2011-01-23,Spring,0,0.1364,0.43,99
2011-01-23,Spring,0,0.1212,0.37,116
2011-01-23,Spring,0,0.1061,0.33,87
2011-01-23,Spring,0,0.1364,0.28,110
2011-01-23,Spring,0,0.1364,0.28,77
2011-01-23,Spring,0,0.1364,0.26,65
2011-01-23,Spring,0,0.1061,0.26,55
2011-01-23,Spring,0,0.1212,0.3,49
2011-01-23,Spring,0,0.1212,0.3,50
2011-01-23,Spring,0,0.1061,0.36,35
2011-01-23,Spring,0,0.1061,0.36,25
2011-01-23,Spring,0,0.0909,0.38,28
2011-01-23,Spring,0,0.0606,0.41,21
2011-01-24,Spring,0,0.0606,0.41,7
2011-01-24,Spring,0,0.0455,0.45,1
2011-01-24,Spring,0,0.0303,0.45,1
2011-01-24,Spring,0,0.0606,0.48,1
2011-01-24,Spring,0,0.0606,0.48,5
2011-01-24,Spring,0,0.0758,0.48,15
2011-01-24,Spring,0,0.1212,0.48,84
2011-01-24,Spring,0,0.1364,0.49,177
2011-01-24,Spring,0,0.1515,0.41,102
2011-01-24,Spring,0,0.1364,0.42,40
2011-01-24,Spring,0,0.1212,0.46,46
2011-01-24,Spring,0,0.1364,0.42,63
2011-01-24,Spring,0,0.1364,0.43,60
2011-01-24,Spring,0,0.1364,0.46,45
2011-01-24,Spring,0,0.1667,0.4,57
2011-01-24,Spring,0,0.1515,0.47,70
2011-01-24,Spring,0,0.1212,0.5,184
2011-01-24,Spring,0,0.1364,0.59,153
2011-01-24,Spring,0,0.1515,0.54,106
2011-01-24,Spring,0,0.1364,0.59,81
2011-01-24,Spring,0,0.1515,0.63,59
2011-01-24,Spring,0,0.1364,0.63,35
2011-01-24,Spring,0,0.1515,0.64,24
2011-01-25,Spring,0,0.1364,0.69,9
2011-01-25,Spring,0,0.1667,0.69,5
2011-01-25,Spring,0,0.1515,0.69,2
2011-01-25,Spring,0,0.1667,0.74,1
2011-01-25,Spring,0,0.1364,0.74,9
2011-01-25,Spring,0,0.1818,0.74,36
2011-01-25,Spring,0,0.1515,0.74,108
2011-01-25,Spring,0,0.1818,0.74,238
2011-01-25,Spring,0,0.2273,0.64,144
2011-01-25,Spring,0,0.2424,0.6,55
2011-01-25,Spring,0,0.2424,0.6,61
2011-01-25,Spring,0,0.2879,0.56,106
2011-01-25,Spring,0,0.2727,0.56,93
2011-01-25,Spring,0,0.3333,0.45,68
2011-01-25,Spring,0,0.3485,0.42,84
2011-01-25,Spring,0,0.3485,0.42,116
2011-01-25,Spring,0,0.3333,0.45,222
2011-01-25,Spring,0,0.3182,0.49,225
2011-01-25,Spring,0,0.2576,0.65,146
2011-01-25,Spring,0,0.2273,0.65,119
2011-01-25,Spring,0,0.2273,0.65,45
2011-01-25,Spring,0,0.2273,0.64,53
2011-01-25,Spring,0,0.2273,0.64,40
2011-01-26,Spring,0,0.2273,0.69,17
2011-01-26,Spring,0,0.2424,0.65,5
2011-01-26,Spring,0,0.2273,0.69,10
2011-01-26,Spring,0,0.1818,0.86,1
2011-01-26,Spring,0,0.1818,0.86,8
2011-01-26,Spring,0,0.2121,0.87,30
2011-01-26,Spring,0,0.2121,0.87,72
2011-01-26,Spring,0,0.2121,0.87,58
2011-01-26,Spring,0,0.2121,0.93,28
2011-01-26,Spring,0,0.197,0.93,41
2011-01-26,Spring,0,0.197,0.93,48
2011-01-26,Spring,0,0.197,0.93,47
2011-01-26,Spring,0,0.197,0.93,36
